,1
Lafite,1
rothschild,1
Bordeaux,1
瓶,1
酒,1
庄,1
罗氏,1
抵抗,1
威尔逊,1
Federal,1
Reserve,1
两重,1
两重性,1
阴谋,2
采油,2
Halliburton,1
职责,1
Commercial,2
Citi,1
Group,1
富国银行,5
Wells,2
Fargo,2
储蓄,1
商业贷款,4
里根,1
发放,2
房屋贷款,2
炒作股票,1
放宽,1
Smith,1
Barney,1
身兼,1
安分,1
分守,1
金融风暴,3
风暴,3
期货,4
翻云覆雨,1
主力军,1
抬高,1
分拆,1
插手,1
Suisse,1
First,1
Boston,1
CSFB,1
Union,1
Swiss,1
甚微,2
Mutual,1
富达,4
Fidelity,1
Vanguard,1
掌控,1
帐户,2
施压,1
开支,1
索罗斯,3
罗杰,1
罗杰斯,1
杰斯,1
量子,2
鳄,2
卖空,9
货币,1
Margin,1
东南,3
东南亚,3
南亚,3
干净,3
敌国,1
两万两,1
万两,1
答,1
困惑,2
马克斯,1
高德曼,4
德曼,4
Marcus,1
裔,2
paper,2
纸张,2
穿,1
西装,1
西装革履,1
革履,1
国库,1
国库卷,1
密码,1
密码箱,1
女婿,1
塞缪尔,1
萨克斯,2
Samuel,1
姓氏,1
外孙,1
外孙女,1
孙女,1
敦,1
马海德,1
海德,1
爱泼斯坦,1
承包,33
underwriter,1
希尔斯,1
Sears,1
金融服务,1
交易商,3
福特汽车公司,1
破产案,1
西欧,1
事件驱动,1
Event,1
Driven,1
承包商,25
包商,25
衍生,3
衍生物,1
高水平,1
嗅,1
抛空,1
远非,1
原油,9
原油价格,6
油价格,6
桶,5
恐慌,1
购入,4
战备,1
俄罗斯,2
格鲁吉亚,1
鲁吉亚,1
紧张局势,1
局势,1
欧佩克,1
佩克,1
减产,1
IKE,1
飓风,1
毁坏,1
萨斯,1
炼油,1
万桶,3
收盘,5
收盘价,3
输掉,1
心知,1
心知肚明,1
境况,1
佳美,1
匆匆,1
高枝,1
救助,1
统选,1
热化,1
党,1
硕果,1
整垮,2
联合国,2
理事,1
讨教,1
明日,1
明日黄花,1
操,1
秩序,2
金融家,2
德,1
Harold,1
脱胎,1
public,1
offer,1
举足,1
举足轻重,1
括,2
频繁,1
证券公司,1
收取,4
计算机网,1
计算机网络,1
易成,1
Broker,1
Scottrade,1
trade,1
代售,1
代理,4
胆,1
计算机化,1
机化,1
数学模型,2
Quantitative,1
Financial,1
Analysis,1
金融界,1
先导,1
Discover,3
金字,1
金字招牌,1
贬值,1
服务质量,1
重创,1
美国财政部,1
聘,1
房,1
房利美,1
两条路,1
交易市场,1
Initial,1
Offer,1
筹措,1
兜售,1
两笔,1
包销,1
总金额,1
融资额,1
百度,33
洽谈,1
中意,1
适中,1
旱涝,1
旱涝保收,1
保收,1
Piper,2
Jaffray,2
衔,1
散户,7
周知,1
长期投资,1
套利,1
李彦宏,2
跳水,1
香港,1
入流,1
中信,1
水准,1
胞,1
套现,2
跌破,1
额度,1
首发,1
发行量,1
吝啬,1
危害,2
流入,2
摆脱困境,1
脱困,1
SpeechWorks,1
牛市,5
发售,1
欢喜,1
萧,5
睐,1
Legg,1
Mason,1
评级,9
发展前景,2
流通量,1
通量,1
化解,1
卖压,1
扬,1
黑莓,1
RIM,1
士气,2
高低,2
联网络,1
阻击,1
明眼,1
明明,1
作假,2
记入,1
涣散,1
留情,1
示,2
猴,2
电视频道,1
售货,1
Overstock,10
料,1
遭遇,1
调低,1
狂泻,1
Patrick,1
Bryne,1
气愤,1
狠心,1
交割,4
作废,1
配合,1
衣,1
缝,1
盛,1
真空,1
弃,1
宠,1
计算机硬盘,1
坐收,2
味,1
阵子,1
沸沸,2
沸沸扬扬,2
扬扬,2
微妙,1
举动,2
开价,6
桩,1
答复,1
抬,1
高价位,1
价位,1
力保,1
击退,2
报价,3
Ichan,6
数亿美元,1
推翻,3
逞,1
月份,1
闹剧,1
收场,1
受伤,1
受伤害,1
静,1
制动,1
赢家,1
难道,5
眷顾,1
疑惑,1
威,1
收购价,1
购价,1
解开,1
钥匙,1
相加,1
企图,1
加价,1
入侵,1
针锋,1
弱势,1
隐藏,2
结盟,1
吹捧,1
角力,1
商量,3
威胁利诱,1
利诱,1
荏,1
花旗集团,1
竞购,1
Wachovia,3
充分说明,1
分说,1
缓,1
非法,1
欺骗,1
两样,1
杀手,1
长远规划,1
优胜劣汰,1
刻意,1
抛弃,2
Nokia,2
Tammerkoski,1
河畔,1
木材,5
造纸,3
塑料,8
塑料厂,1
Finland,1
Plastic,1
Works,1
高科技产品,2
电线,4
沾,3
珠江,1
洲,1
加工厂,1
胶鞋,2
发电,7
发电机,1
元器,3
元器件,3
超高,1
超高频,1
VHF,1
十公斤,1
公,2
座机,1
DX,1
玛,1
奥利拉,1
数字电路,1
Special,1
GS,1
瑞典,1
iDEN,1
AMPS,1
ONE,1
高潮时,1
潮时,1
轻装,1
领跑,1
芬兰政府,6
问道,1
优惠,1
优惠政策,1
总理,3
商品化,1
形式,3
贸易中心,1
收集,1
整套,1
欧元,2
欧元区,1
北欧,1
北欧国家,1
全球化,2
话音,5
节拍,1
碍事,1
外壳,4
家庭主妇,3
主妇,3
短信,1
抓住机遇,1
股票指数,1
命脉,1
寥寥,1
Scotch,3
胶,22
软磁,1
软磁盘,1
洗碗,1
液晶,13
明尼苏,2
明尼苏达,2
苏达,2
矿业,3
Minnesota,1
Mining,1
苏利,1
利尔,1
畔,1
采矿,1
采矿业,1
卓,5
Dick,1
Drew,1
喷漆,3
双色,1
麻烦事,1
烦事,1
汽车厂,1
车厂,1
喷,3
漆,3
糊,2
挡住,1
胶水,2
粘,1
擦,1
破坏,2
车身,1
美观,1
接头,1
接头处,1
撕,1
干胶,1
原意,1
恶搞,1
苏格兰,1
Scotchland,1
场合,1
交代,1
透明,3
双面,2
双面胶,2
透明胶,1
明胶,1
导电,1
导电胶,1
导热,1
屏蔽,1
高温,1
热熔,1
热熔胶,1
遮,1
警示,1
西雅图,4
机长,1
机翼,1
正值,1
午夜,1
机械师,1
粘住,1
提心,1
提心吊胆,1
舷窗,1
吹掉,1
欣慰,1
时速,1
飞行,1
胶布,2
强风,1
吹开,1
脑子,2
脑子里,2
弦,1
产品质量,1
发明专利,1
防霉,3
磁碟,5
保护膜,1
霉菌,1
转动,1
套子,1
长寿命,1
外套,1
磁,2
读写,1
摄影,1
胶卷,1
催生,1
痛决,1
Imation,1
态,1
液体,1
特性,1
物质,1
电磁,2
电磁场,2
磁场,2
分子,1
排列,1
发生变化,1
生变,1
偏振,1
亮度,3
薄膜,5
精工,1
液晶显示,2
膜,1
Bright,1
Enhance,1
Film,1
BEF,1
膜技术,1
LCD,3
亮度高,1
色彩鲜艳,1
鲜艳,1
教程,1
放手,2
弹性,1
容忍,1
业务部,1
业务部门,1
产品数量,1
品数,1
专营,1
联合体,6
合体,6
发明家,2
爱迪生,8
Electronic,2
字面,2
电灯,7
电冰箱,3
冰箱,6
排序,1
基建,1
Infrastructure,1
Finance,1
新闻网,1
医疗保健,2
Health,1
Care,1
appliance,1
倒数,1
Edison,1
电灯泡,1
灯泡,1
心理,1
巡逻,1
电力,2
电力供应,2
直流,2
输电,6
西屋,2
西屋电气,2
变压,1
拓展,1
间断,1
Radio,1
信号线,1
电源,1
电源插座,1
插座,1
电压,1
电阻,1
CRT,1
牵扯,1
权力斗争,1
力斗,1
蜗牛,3
文革,1
国务院,2
壳,1
荧,1
粉,1
友,1
江青,1
NTSC,1
供电,2
火力,1
火力发电,1
核电,1
核电站,1
电站,1
钻井,1
品类,1
洗衣,1
洗衣机,1
微波炉,1
发动,4
发动机,4
动机,4
空中,2
空中客车,2
中客,2
客车,2
战斗,1
战斗机,1
F,1
改成,1
广播公司,3
美国广播公司,1
ABC,1
广播电视,2
电视广告,1
娱乐业,2
乐业,2
陷,1
力争,1
公主,1
矮,2
Honeywell,2
MRI,1
诊断,1
广阔,1
医院,1
放射,1
放射科,1
西门,2
西门子,2
门子,2
实体,7
金融部门,3
金融业务,3
忌讳,1
家电产品,1
profile,1
Sub,1
Zero,1
分期,1
分期付款,1
信誉,2
高利,1
高利贷,1
建材,2
Home,6
Depot,6
商店,16
Best,1
Buy,1
赖帐,1
服装店,1
Gap,1
Ann,1
Taylor,1
JCPenney,1
家具,3
家具店,1
伊桑,1
Ethan,1
Allen,1
维尔,1
Thomasville,1
万事达,1
维萨,1
承接,1
医疗保险,1
难事,1
抵押金,1
押金,1
国防工业,1
广泛支持,1
公益,1
慈善事业,1
善事,1
AAA,4
担保,1
AA,3
BAA,1
暴发,1
暴发户,1
降级,1
信度,3
失控,1
数数,1
Jack,1
Welch,1
国士,1
旗,1
空降,1
土生,1
土生土长,1
生土,1
职业生涯,1
官僚作风,1
奥马,2
年龄,1
Executives,1
裁减,1
森严,1
越级,1
回忆录,1
守规矩,1
中子,1
中子弹,1
恶名,1
制高点,1
汤姆逊,2
Tompson,1
汤普森,1
TCL,1
分支,1
分支机构,1
跳舞,1
省长,1
提拔,1
接班,2
Jeff,1
Immelt,4
McNerney,2
Nardelli,3
GEO,1
考验,1
克莱斯,1
克莱斯勒,1
克莱斯勒公司,1
莱斯,1
曹,1
中文版,1
文版,2
图书城,1
书城,1
铁,1
书摊,1
解体,2
基础设施,1
美名,1
名曰,1
德国西门子,1
荷兰,1
刀子,1
做手术,1
商业部,1
商业部门,1
产业部门,1
高附加值,1
附加,1
附加值,1
加值,1
变暖,1
化石,1
燃料,1
煤炭,1
天气,1
生产力,3
Century,1
Innovation,1
The,1
电子版,1
英文版,1
高呼,1
倒置,1
制止,2
安装费,2
中国电信,1
国电,1
拦住,1
外行,1
百页,1
报告书,1
Prospectus,1
鬼,1
婉言,1
劝,1
保护费,1
长久,1
电子商务,19
电子商务系统,1
商务,19
文字广告,2
造假,1
Youtube,1
纽约时报,1
时报,1
填补,1
读报,1
包装纸,1
包裹,1
填充,1
填充物,1
电视业,1
版面,1
批发,12
批发商,4
刊登,1
劳动生产率,1
生产率,1
全国性,2
报纸广告,1
电台,1
跨区,1
拉广告,3
关键词,6
匹配,2
长矛,1
模板,1
动漫,2
横幅,2
弹,2
嵌入,1
嵌入式,1
音频视频,1
JavaScript,1
链接,4
指纹,3
插入,1
返回,2
包含,1
次数,3
隐私,1
社交,1
改进,4
接纳,1
填,2
广告费,3
模拟系统,1
点击,8
推算,1
广告媒体,1
广告设计,1
生动,1
触发,1
ebay,2
广告词,1
骗钱,1
障,1
深受,1
建成,1
登记,1
填表,1
假期,1
Machine,1
Learning,1
阈值,3
点击率,1
前院,4
旧货,12
Yard,1
Sale,2
Garage,1
摆,1
路口,1
跳蚤,8
跳蚤市场,8
Flee,1
伊朗,1
皮埃尔,1
米德,3
Pierre,1
Omidyar,1
WebAuction,1
benchmark,1
旧车,1
旧家,1
旧家具,1
分类广告,2
Listing,2
手续,3
手续费,3
续费,3
卖家,4
拍卖,2
弄虚作假,1
百元,1
耽搁,1
顾客,17
Paypal,4
交易量,2
显山,1
显山露水,1
露水,1
提成,2
转成,1
算清,1
卖东西,1
批发店,1
直线发展,1
事态,1
熊市,3
抗跌,1
遗余,1
伪造,1
名牌商品,1
书籍,1
坑害,1
踪,1
泰晤士,1
泰晤士报,1
盗版书,1
易威登,1
威登,1
LV,1
索赔,1
首饰,1
Tiffany,1
http,1
www,1
timesonline,1
co,1
uk,2
tol,1
news,1
article,1
ece,1
团伙,2
反馈,2
Percentage,1
Positive,1
Feedback,1
夭,2
联邦调查,1
联邦调查局,1
调查局,1
FBI,1
雾水,1
犯罪,1
犯罪团伙,1
根治,1
呈现,1
态势,1
通货膨胀率,1
膨胀率,1
难说,1
Bezos,5
分析师,1
收货,1
驾车,1
横跨,1
太平,1
太平洋,1
西岸,1
走错,1
销售税,2
克林顿,1
搁置,1
售书,2
衣服,1
退货,1
春风,1
Barnes,2
Noble,2
商厦,4
租赁,3
门市,1
门市部,1
beach,5
camera,5
发货,4
退钱,1
邮费,2
标价,1
百分数,1
分数,1
卖书,1
主推,1
覆盖面,1
开店,1
原料,3
仓储,6
市场推广,3
圈,1
库存,1
港口,1
装货,1
戴尔公司,6
麦克戴,1
奥斯丁,1
宝马,1
尝,1
甜头,1
专职,1
外包,1
搭积木,1
积木,1
配件,1
商谈,1
成品,2
做文章,1
耗费,1
分销,1
订购,3
邮购,1
价格表,1
省掉,1
仓库,1
讨价,1
长城公司,3
贸,1
广东,1
建厂,1
代理商,1
处处,1
技工,1
技工贸,1
工贸,1
脱颖,1
Table,1
Contents,1
Readme,1
